scenario,purchase_price,exit_cap,rent_growth,irr,equity_multiple
base_case_at_ask,3120000,0.075,0.025,0.166,2.01
base_case_at_recommend,2750000,0.075,0.025,0.247,2.67
price_2500000,2500000,0.075,0.025,0.306,3.23
price_2600000,2600000,0.075,0.025,0.281,2.99
price_2700000,2700000,0.075,0.025,0.258,2.77
price_2800000,2800000,0.075,0.025,0.235,2.57
price_2900000,2900000,0.075,0.025,0.213,2.38
price_3000000,3000000,0.075,0.025,0.191,2.21
price_3250000,3250000,0.075,0.025,0.139,1.81
exit_cap_7pct_at_rec,2750000,0.070,0.025,0.274,2.96
exit_cap_8pct_at_rec,2750000,0.080,0.025,0.221,2.42
exit_cap_85pct_at_rec,2750000,0.085,0.025,0.196,2.19
exit_cap_9pct_at_rec,2750000,0.090,0.025,0.172,1.98
rent_growth_05pct_at_rec,2750000,0.075,0.005,0.199,2.23
rent_growth_15pct_at_rec,2750000,0.075,0.015,0.223,2.45
rent_growth_35pct_at_rec,2750000,0.075,0.035,0.269,2.90
exit_cap_8pct_at_ask,3120000,0.080,0.025,0.138,1.78
exit_cap_85pct_at_ask,3120000,0.085,0.025,0.110,1.58
exit_cap_7pct_at_ask,3120000,0.070,0.025,0.195,2.27
rent_growth_15pct_at_ask,3120000,0.075,0.015,0.114,1.61
rent_growth_05pct_at_ask,3120000,0.075,0.005,0.054,1.21
rent_growth_35pct_at_ask,3120000,0.075,0.035,0.213,2.41
